Anon. ID,Age,Gender,Home Region,Home Post Code,Work Region,Work Post Code,Country of Residence,Nationality,Personal Earnings,Household Earnings,Education Level,Relationship Status,Employment Status,Employment Type,Employment Sector,Professional Experience,Parental Status,Home Owner/Renter,Adults in Household,Children in Household,Age and Gender of Child,Role in Household,Pets,Q1_R1,Q1_R2,Q1_R3,Q1_R4,Q1_R5,Q1_R6,Q1_R7,Q2_R1,Q2_R2,Q2_R3,Q2_R4,Q2_R5,Q2_R6,Q2_R7,Q2_R8,Q2_R9_None,Q3_R1,Q3_R2,Q3_R3,Q3_R4,Q3_R5,Q3_R6,Q3_R7,Q3_R8,Q4_R1,Q4_R2,Q4_R3,Q4_R4,Q4_R5,Q4_R6,Q5_R1,Q5_R2,Q5_R3,Q5_R4,Q5_R5,Q5_R6,Q6_R1,Q6_R2,Q6_R3,Q6_R4,Q6_R5,Q6_R6,Q7_R1,Q7_R2,Q7_R3,Q7_R4,Q7_R5,Q7_R6,Q8_R1,Q8_R2,Q8_R3,Q8_R4,Q8_R5,Q8_R6,Q9_R1,Q9_R2,Q9_R3,Q9_R4,Q9_R5,Q9_R6,Q10_R1,Q10_R2,Q10_R3,Q10_R4,Q10_R5,Q10_R6,Q11_R1,Q11_R2,Q11_R3,Q11_R4,Q11_R5,Q11_R6,Q12_R1,Q12_R2,Q12_R3,Q12_R4,Q12_R5,Q12_R6,Q13_R1,Q13_R2,Q13_R3,Q13_R4,Q13_R5,Q13_R6,Q14_R1,Q14_R2,Q14_R3,Q14_R4,Q14_R5,Q14_R6,Q14_R7_None,Q15_R1,Q15_R2,Q15_R3,Q15_R4,Q15_R5,Q15_R6
9523,43,Female,Yorkshire & Humber,WF2,Yorkshire & Humber,WF2,,United Kingdom,"£30,000 to £34,999","£30,000 to £34,999",Below O Level or GCSE,"Single, never married",Self-employed/business owner,Employed part-time,Healthcare,"C-Level (e.g. CEO, CFO), Owner, Partner, President",No children/Not pregnant,Rented House,1,,Male teen age 17,"Cooking, Cleaning, Laundry, Finances, Healthcare",Fish,,,,,,,There's nothing I can't do with data,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,less than 100MB in size,,,,,,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,,I don't know what this is
17716,34,Female,North West,WA5,North West,WA5,,United Kingdom,"£15,000 to £19,999","£40,000 to £44,999",O Levels or GCSEs,Married,Employed as employee,Employed full-time,Other,Administrative (Clerical or Support Staff),1+ children under 18,Owned House,2,,"Girl age 7, Boy age 10, Male teen age 15","Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare",Dog(s),,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,,,,,"less than 10,000MB (=10GB) in size",,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use frequently,,,,,
9525,36,Male,North East,NE24,North East,NE24,,United Kingdom,"Less than £15,000","Less than £15,000",O Levels or GCSEs equivalent,Married,Employed as employee,Employed full-time,Food/Beverage,Assistant or Associate,1+ children under 18,Owned House,2,,None,"Cooking, Cleaning, Finances","Cat(s), Reptiles (turtles, snakes, lizards, etc.)",I never interact with graphs and tables of numbers,,,,,,,,,,,,,,,None,,,,,,,,I never use datasets,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,,I don't know what this is
46395,58,Female,Wales,,,,,,,"£20,000 to £24,999",O Levels or GCSEs equivalent,,,Full-time homemaker,,,,,,,,,,,,,,I occasionally analyse data for myself or others,,,Understanding a table of numbers,,,,,,,,,less than 1 MB in size,,,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,,I'm indifferent in having,,
30013,43,Male,South East,BN5,South East,BN5,,United Kingdom,"£25,000 to £29,999","£25,000 to £29,999",A Levels equivalent,"Single, never married",Self-employed/business owner,Employed full-time,Construction,"C-Level (e.g. CEO, CFO), Owner, Partner, President",No children/Not pregnant,Rented House,3,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",Dog(s),,I occasionally read graphs and tables of numbers,,,,,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,Writing my own computer code to analyse data,,,,,,,,,,I never use datasets,,I need and use infrequently,,,,,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,,,I don't know what this is,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,,I'm indifferent in having,,
1341,29,Male,London,SW10,London,NW10,,United Kingdom,"£30,000 to £34,999","£25,000 to £29,999",Undergraduate Degree: 4 or more years,"Single, never married",Military,Employed full-time,Accounting,"C-Level (e.g. CEO, CFO), Owner, Partner, President",1+ children under 18,Rented House,2,,"Boy age 5, Boy age 6","Cooking, Finances, Childcare","Other, Dog(s)",,,,,I occasionally analyse data for myself or others,,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,Using pivot tables to analyse a dataset,,,,,,,less than 100MB in size,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,,I don't want this,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,I need and use infrequently,,,,
5438,38,Male,East Midlands,LN4,Not applicable,N/A,,United Kingdom,"£35,000 to £39,999","£75,000 to £84,999",Undergraduate Degree: 3 years,"Single, never married",Self-employed/business owner,Employed full-time,Transportation,"C-Level (e.g. CEO, CFO), Owner, Partner, President",No children/Not pregnant,Owned House,3,,None,"Cooking, Cleaning, Healthcare","Cat(s), Dog(s), Bird(s), Horse(s)",,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,,Writing my own computer code to analyse data,Building software and analytical products,,,,,,"less than 10,000MB (=10GB) in size",,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I need and use infrequently,,,,
38209,29,Female,Yorkshire & Humber,S21,North East,IV27,,United Kingdom,"£15,000 to £19,999","£15,000 to £19,999",A Levels,Domestic partnership/living with someone,Employed as employee,Employed full-time,None,None,No children/Not pregnant,Rented Flat,4,,None,"Cooking, Cleaning, Laundry",Dog(s),,,,,I occasionally analyse data for myself or others,,,,,,,,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,,,,,"less than 10,000MB (=10GB) in size",,,,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I need and use infrequently,,,,
5442,53,Female,East of England,CM3,East of England,EC3M,,United Kingdom,"£50,000 to £59,999","£50,000 to £59,999",O Levels or GCSEs,Married,Employed as employee,Employed full-time,None,Administrative (Clerical or Support Staff),No children/Not pregnant,Owned House,2,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",Cat(s),,,I frequently read graphs and tables of numbers,,,,,Understanding a table of numbers,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,,,,,,I never use datasets,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't want this,
13635,30,Male,London,UB6,London,UB6,,United Kingdom,"£30,000 to £34,999","£30,000 to £34,999",Post Graduate: MA,Married,Employed as employee,Employed full-time,Engineering,Assistant or Associate,1+ children under 18,Rented House,2,,Boy age 12,"Cooking, Cleaning, Laundry, Finances, Childcare",Cat(s),,,I frequently read graphs and tables of numbers,,,,,,,,,,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",Writing my own computer code to analyse data,,,,,,,"less than 10,000MB (=10GB) in size",,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,I need and use infrequently,,,,
25928,21,Male,North East,LU2,North West,LU2,,United Kingdom,"£200,000 and above","£20,000 to £24,999",Undergraduate Degree: 3 years,"Separate, divorced or widowed",Homemaker,Employed full-time,Agriculture/Fishing,Intern,No children/Not pregnant,Rented Flat,3,,"Boy age 6, Male teen age 14",Cooking,Dog(s),,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,Interpreting graphs to spot trends,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,Building software and analytical products,,,,,,"less than 10,000MB (=10GB) in size",,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use frequently,,,,,
54607,55,Female,South East,,,,,,,"£45,000 to £49,999",A Levels equivalent,,,Employed full-time,Healthcare,Administrative (Clerical or Support Staff),,,,,,,Dog(s),,I occasionally read graphs and tables of numbers,,,,,,,,,,,,,,,,,,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,,,,,I don't know what this is,,,,,,I don't know what this is,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,,,I don't want this,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,,I'm indifferent in having,,
13649,42,Male,North East,DH8,North East,DH8,,United Kingdom,"£30,000 to £34,999","£50,000 to £59,999",O Levels or GCSEs,Married,Employed as employee,Employed full-time,Construction,None,No children/Not pregnant,Owned Flat,2,,None,"Cleaning, Laundry","Amphibians (frogs, toads, etc.)",,,I frequently read graphs and tables of numbers,,,,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,,,,,,,less than 100MB in size,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,,I don't want this,,,,I would like to have,,,,,,,I would like to have,,,
46418,58,Male,Yorkshire & Humber,,,,,,,"£20,000 to £24,999",O Levels or GCSEs equivalent,,,Retired,Accounting,"C-Level (e.g. CEO, CFO), Owner, Partner, President",No children/Not pregnant,Owned House,,,None,,Dog(s),I never interact with graphs and tables of numbers,,,,,,,,,,,,,,,None,,,,,,,,I never use datasets,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,,I don't know what this is
13651,39,Male,Yorkshire & Humber,DN15,Yorkshire & Humber,HA2,,United Kingdom,"£25,000 to £29,999","£35,000 to £39,999",Undergraduate Degree: less than 2 years,Married,Employed as employee,Employed full-time,Information Technology/IT,Consultant,No children/Not pregnant,Owned House,2,,None,"Cleaning, Laundry, Finances, Healthcare",Cat(s),,I occasionally read graphs and tables of numbers,,,,,,Understanding a table of numbers,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",,,Writing my own computer code to analyse data,,,less than 1 MB in size,,,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,,,I don't know what this is,,,,,,I don't know what this is,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use frequently,,,,,
5463,62,Female,South East,,South East,,,"United Kingdom, Guatemala, Madagascar","Less than £15,000","Less than £15,000",Below O Level or GCSE,Married,Self-employed/business owner,Employed part-time,Food/Beverage,"C-Level (e.g. CEO, CFO), Owner, Partner, President",No children/Not pregnant,Owned House,3,,"Boy age 7, Boy age 11","Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare","Cat(s), Dog(s), Fish",,,,,I occasionally analyse data for myself or others,,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,I need and use frequently,,,,,
13656,41,Male,East of England,PE4,East of England,PE4,,"United Kingdom, Bangladesh","£35,000 to £39,999","£40,000 to £44,999",Undergraduate Degree: 3 years,Married,Employed as employee,Employed full-time,Banking/Financial,Assistant or Associate,1+ children under 18,Owned House,2,,"Girl age 10, Boy age 12","Cleaning, Laundry, Finances, Childcare","Cat(s), Dog(s)",,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,,,,,,less than 10MB in size,,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I would like to have,,,
25944,23,Male,North West,OL11,North West,OL11,,United Kingdom,"Less than £15,000","£20,000 to £24,999",A Levels,"Separate, divorced or widowed",Employed as employee,Self-employed part-time,Automotive,"Director (Group Director, Sr. Director, Director)",1+ children over 18,Owned Flat,Not applicable,,Boy age 1,Laundry,Dog(s),,I occasionally read graphs and tables of numbers,,,,,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I would like to have,,,,,,,,I don't want this,,,,I need and use infrequently,,,,
91480,53,Male,North West,,,,,,,"£25,000 to £29,999",Post Graduate: other/not PhD or MA,Married,,Full-time homemaker,None,None,No children/Not pregnant,,,,None,,Cat(s),I never interact with graphs and tables of numbers,,,,,,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,,,,,,,I never use datasets,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,,I don't know what this is,,,,,I don't want this,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,,I'm indifferent in having,,
50524,27,Female,North East,TS26,North East,TS26,,Afghanistan,"£20,000 to £24,999","£50,000 to £59,999",O Levels or GCSEs,"Single, never married",Employed as employee,Full-time homemaker,Sales,Volunteer,No children/Not pregnant,Rented House,2,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare",I do not have any pets,,I occasionally read graphs and tables of numbers,,,,,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,less than 100MB in size,,,,,,,,I would like to have,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,,,I don't want this,
25949,27,Male,Yorkshire & Humber,YO10,Yorkshire & Humber,YO19,,United Kingdom,"£40,000 to £44,999","£50,000 to £59,999",Post Graduate: MA,"Single, never married",Employed as employee,Employed full-time,Retail/Wholesale trade,Analyst,No children/Not pregnant,Owned House,2,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",I do not have any pets,,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",Writing my own computer code to analyse data,Building software and analytical products,,,,,"less than 1,000MB (=1GB) in size",,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,,,I don't know what this is,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,I need and use frequently,,,,,
25951,36,Female,Scotland,FK7,Scotland,FK7,,United Kingdom,"£25,000 to £29,999","£20,000 to £24,999",O Levels or GCSEs equivalent,Married,Self-employed/business owner,Self-employed full-time,Sales,"C-Level (e.g. CEO, CFO), Owner, Partner, President",1+ children under 18,Rented House,2,,Boy age 2,"Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare",I do not have any pets,,I occasionally read graphs and tables of numbers,,,,,,,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,I would like to have,,,
46431,43,Male,West Midlands,,,,,,,"£30,000 to £34,999",O Levels or GCSEs equivalent,Married,,Employed full-time,Construction,None,1+ children under 18,,,,Female teen age 15,,,,,I frequently read graphs and tables of numbers,,,,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,,less than 100MB in size,,,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,I need and use infrequently,,,,
25953,51,Female,West Midlands,,,,,,,"£20,000 to £24,999",O Levels or GCSEs,Married,,Employed full-time,Fashion/Apparel,Volunteer,1+ children over 18,,,,,,,,,,,,I frequently analyse data for myself or others,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,less than 1 MB in size,,,,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I would like to have,,,
46437,24,Male,East of England,,,,,,,"£15,000 to £19,999",O Levels or GCSEs,,,Employed full-time,Security,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",1+ children under 18,,,,Boy age 4,,,,,,,,I frequently analyse data for myself or others,,,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,,,,,,,,,,"less than 100,000MB (=100GB) in size",,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,,,I don't want this,,,,I would like to have,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use frequently,,,,,
13671,36,Female,South East,RG27,South East,RG27,,United Kingdom,"Less than £15,000","£35,000 to £39,999",Undergraduate Degree: 4 or more years,Married,Self-employed/business owner,Employed full-time,Sales,Administrative (Clerical or Support Staff),1+ children under 18,Owned House,2,,"Boy age 1, Girl age 2","Cooking, Cleaning, Laundry, Childcare",Cat(s),,I occasionally read graphs and tables of numbers,,,,,,Understanding a table of numbers,,,"Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,less than 1 MB in size,,,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,,,,I don't know what this is,I need and use frequently,,,,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I would like to have,,,
1383,51,Female,Wales,NP22,Wales,NP7,,United Kingdom,"Less than £15,000","£20,000 to £24,999",O Levels or GCSEs,Domestic partnership/living with someone,Employed as employee,Employed full-time,Automotive,Intern,1+ children under 18,Rented House,2,,"Girl age 5, Girl age 12","Cooking, Cleaning, Laundry, Finances, Healthcare, Childcare","Cat(s), Dog(s)",,I occasionally read graphs and tables of numbers,,,,,,,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,less than 10MB in size,,,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,,,I don't know what this is,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,I would like to have,,,
50537,28,Female,Scotland,,,,,,,"£45,000 to £49,999",Undergraduate Degree: 4 or more years,Domestic partnership/living with someone,,Employed full-time,Healthcare,,,,,,,,,,,,,,,,,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max",,,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,,I would like to have,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I would like to have,,,,,,,I would like to have,,,
1388,32,Female,North West,LA3,North West,LA1,,United Kingdom,"£20,000 to £24,999","£50,000 to £59,999",Undergraduate Degree: 3 years,Married,Employed as employee,Employed full-time,Education,Administrative (Clerical or Support Staff),Pregnant or expecting,Owned House,2,,None,"Cooking, Cleaning, Laundry, Finances","Cat(s), Horse(s)",,,,,,I frequently analyse data for myself or others,,Understanding a table of numbers,,,,Using pivot tables to analyse a dataset,,,,,less than 1 MB in size,,,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,I need and use infrequently,,,,
5485,27,Female,South East,OX14,South East,OX1,,United Kingdom,"Less than £15,000","£35,000 to £39,999",Undergraduate Degree: less than 2 years,Married,Employed as employee,Self-employed part-time,Accounting,Consultant,Pregnant or expecting,Rented Flat,2,,None,"Cooking, Cleaning, Laundry, Finances, Healthcare",Dog(s),,,,,I occasionally analyse data for myself or others,,,Understanding a table of numbers,Interpreting graphs to spot trends,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",Using pivot tables to analyse a dataset,"Doing my own analysis using advanced logic e.g. using VLOOKUP, IF",,,,,,less than 100MB in size,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,I need and use infrequently,,,,,I need and use frequently,,,,,,,I need and use infrequently,,,,,,,I need and use infrequently,,,,
50542,46,Male,South East,,,,,,,"£50,000 to £59,999",,,,Employed full-time,Pharmaceuticals,"Director (Group Director, Sr. Director, Director)",1+ children under 18,,,,"Boy age 3, Girl age 12, Female teen age 16",,,,,I frequently read graphs and tables of numbers,,,,,,,,,Using pivot tables to analyse a dataset,,,,,,,,"less than 1,000MB (=1GB) in size",,,,,,,,I'm indifferent in having,,,,,I would like to have,,,,I need and use frequently,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,I need and use frequently,,,,,,,,I would like to have,,,,,,I need and use infrequently,,,,
50551,64,Male,North West,,,,,,,"£25,000 to £29,999",Below O Level or GCSE,Domestic partnership/living with someone,,Employed full-time,Engineering,Volunteer,1+ children under 18,,,,Boy age 8,,,,I occasionally read graphs and tables of numbers,,,,,,,Interpreting graphs to spot trends,,,,,,,,,,,,"less than 10,000MB (=10GB) in size",,,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,I need and use infrequently,,,,,,,,I'm indifferent in having,,,,,,,I don't want this,,,,I would like to have,,,,,I need and use infrequently,,,,,,,,,I'm indifferent in having,,
13690,50,Male,East Midlands,,East Midlands,,,United Kingdom,"£45,000 to £49,999","£50,000 to £59,999",O Levels or GCSEs,Married,Employed as employee,Employed full-time,Construction,"Manager (Group Manager, Sr. Manager, Manager, Program Manager)",No children/Not pregnant,Owned House,2,,None,"Cooking, Cleaning, Finances",Fish,,I occasionally read graphs and tables of numbers,,,,,,Understanding a table of numbers,,"Doing my own basic analysis on a dataset e.g. finding the total, average, min and max","Making a graph from a dataset e.g. stacked bar, line, scatter",,,,,,,less than 10MB in size,,,,,,,,I need and use infrequently,,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I'm indifferent in having,,,,,,I'm indifferent in having,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,I would like to have,,,,,,,I would like to have,,,
